intent,example
land_information,لطفاً می‌توانید نقشه و اطلاعات دقیق طرح تفصیلی ملک را به من ارائه دهید؟
land_information,من به دنبال اطلاعات کاملی درباره طرح تفصیلی ملکی هستم که دارم، می‌شود کمک کنید؟
land_information,لطفاً می‌توانید مشخصات دقیق و جزئیات کامل نقشه ملک را برای من فراهم کنید؟
land_information,آیا می‌توانید نقشه و اطلاعات جامع طرح تفصیلی ملک را به من بفرستید؟
land_information,من نیاز به اطلاعات دقیق درباره موقعیت و نقشه تفصیلی ملک دارم، می‌شود کمک کنید؟
land_information,لطفاً می‌توانید نقشه تفصیلی و جزئیات کامل این ملک را برای من ارسال کنید؟
land_information,اطلاعات طرح تفصیلی ملک
land_information,اطلاعات ملکم رو می خواستم
land_information,استعلام ملک
land_information,استعلام ملک در طرح تفصیلی
land_information,استعلام ضوابط مربوط به ملک
land_information,اظلاعات طرح تفصیلی ملک رو میخواستم
land_information,میخواستم ملکم رو در طرح تفصیلی استعلام بگیرم
land_information,میخواستم ببینم طرح تفصیلی ملکم چطوریه
deny,این نادرست است
deny,این اطلاعات غلط است
deny,اشتباه می‌گویید
deny,این ادعا نادرست است
deny,این پاسخ صحیح نیست
deny,این نتیجه غلط است
deny,این نظر اشتباه است
deny,این مطلب نادرست است
deny,این اطلاعات صحیح نمی‌باشد
deny,این جواب نادرست است
deny,شما درست نمی‌گویید
deny,این ارزیابی اشتباه است
deny,این اطلاعات درست نمی‌باشد
deny,درست نیست
deny,این درست نمی‌باشد
deny,صحت ندارد
deny,این اشتباه می‌باشد
deny,این گفته نادرست است
deny,صحیح نمی‌باشد
deny,این برداشت غلط است
deny,این اطلاعات غلط می‌باشد
deny,این نظر نادرست می‌باشد
deny,این پاسخ درست نیست
deny,این اطلاعات نادرست می‌باشد
deny,این گفته صحیح نمی‌باشد
deny,این ادعا صحیح نیست
deny,درست نیست
deny,این اشتباهه
deny,نادرسته
deny,غلط گفتی
deny,این صحیح نیست
deny,اشتباه می‌کنی
deny,غلطه دیگه
deny,این غلطه، اشتباه گفتی
deny,اشتباهه این
deny,این درسته نیست، اشتباهه
deny,این حرفت غلطه
deny,نه، درست نیست
deny,حرفت درسته نیست
deny,این نادرسته
deny,نه، این اشتباهه
deny,نه، این غلطه
deny,این اشتباهه، باور کن
deny,داری اشتباه می‌گی
deny,این جواب غلطه
deny,حرفت اشتباهه
deny,این چیزی که گفتی درست نیست
deny,اشتباهه
deny,نادرسته
deny,درست نیست
deny,نه، اشتباهه
deny,غلط گفتی
deny,درسته نیست
deny,این غلطه
deny,نادرسته
deny,غلط گفتی
deny,اشتباه می‌کنی
deny,صحیح نیست
deny,اشتباه متوجه شدی
deny,درست نیست این
deny,اشتباهه این
deny,غلطه دیگه
deny,این اشتباهه
deny,نه، نادرسته
deny,این درسته نیست
deny,نه، این غلطه
deny,نادرسته این
deny,نه، اشتباه گفتی
deny,این حرف غلطه
deny,این اشتباهه
deny,نه، صحیح نیست
deny,حرفت غلطه
deny,این غلطه، قبول ندارم
deny,درست نمی‌گی
deny,نادرست گفتی
deny,این اشتباهه، مطمئنم
deny,غلط گفتی، نه
deny,این غلطه، نه
deny,نه، اینطوری نیست، غلطه
deny,نتیجه ای که گفتی غلطه، مطمئنم
deny,فکر نمی‌کنم درست باشه، اشتباهه
deny,اینجوری نیست که میگی، اشتباهه
deny,حرفت صحیح نیست، غلطه
deny,بررسی کردم، درست نیست، اشتباهه
deny,به نظرم اشتباهه، اینطوری نیست
deny,اینطوری نیست که گفتی، غلطه
deny,به نظرم اشتباهه، درست نمیگی
deny,نه، اشتباهه، دقیق بررسی کن
deny,به نظر من این اشتباهه، اینطوری نیست
deny,اینطوری که میگی غلطه
deny,کاملاً مطمئنم که اشتباهه، درست نیست
deny,این حرف اشتباهه، باورم نمیشه
deny,نتیجه‌گیری تو غلطه، اشتباهه
deny,حرفت اصلاً درست نیست، اشتباهه
deny,نمی‌تونم قبول کنم، غلطه
deny,اینطور نیست که گفتی، اشتباهه
deny,نتیجه‌گیریت صحیح نیست، غلطه
deny,به نظرم درست نمیگی، غلطه
deny,اصلاً اینطور نیست، اشتباهه
deny,کاملاً نادرسته، اشتباهه
deny,حرفت متناقضه، اشتباهه
deny,این حرف درست نیست، اشتباهه
deny,نتیجه‌گیری تو غلطه، این اشتباهه
deny,نه، این حرف نادرسته، اشتباهه
deny,فکر نمی‌کنم این درست باشه، غلطه
deny,به نظرم این اشتباهه، اینطوری نیست
deny,بررسی کردم، نتیجه‌گیریت اشتباهه، غلطه
deny,نه این نیست
deny,نه
deny,نه این اشتباهه
deny,نه این غلطه
deny,نه من اینو نگفتم
deny,نه کدملی من این نیست
deny,نع
file_status,نمایش وضعیت تیکت
file_status,پیشرفت پرونده را می‌خواهم بدانم
file_status,پرونده‌ام در چه مرحله‌ای است؟
file_status,لطفاً اطلاعات وضعیت پرونده را ارائه دهید
file_status,می‌توانم از وضعیت تیکت مطلع شوم؟
file_status,وضعیت فعلی پرونده‌ام چگونه است؟
file_status,آخرین وضعیت تیکت من چیست؟
file_status,وضعیت کنونی پرونده‌ام چیست؟
file_status,آیا می‌توانم از پیشرفت پرونده‌ام مطلع شوم؟
file_status,آخرین تغییرات در پرونده‌ام چیست؟
file_status,اطلاعات به‌روز شده‌ی پرونده را می‌خواهم
file_status,پرونده‌ام چه وضعیتی دارد؟
file_status,لطفاً وضعیت جاری پرونده‌ام را بگویید
file_status,لطفاً از پیشرفت تیکت خود مطلع کنید
file_status,آیا می‌توانم آخرین وضعیت پرونده‌ام را بدانم؟
file_status,وضعیت حال حاضر پرونده‌ام چگونه است؟
file_status,پرونده‌ام به کجا رسیده است؟
file_status,آیا اطلاعات جدیدی در مورد پرونده‌ام وجود دارد؟
file_status,لطفاً وضعیت به‌روز شده پرونده را اعلام کنید
file_status,پرونده‌ام چه وضعیتی دارد؟
file_status,آیا اطلاعاتی در مورد وضعیت پرونده من دارید؟
file_status,آخرین وضعیت پرونده چگونه است؟
file_status,آیا پرونده‌ام به مرحله جدیدی رسیده است؟
file_status,وضعیت تیکت من در چه مرحله‌ای قرار دارد؟
file_status,وضعیت کنونی تیکت من چیست؟
file_status,وضعیت پرونده چیه؟
file_status,پرونده‌ام کجا رسیده؟
file_status,چه خبر از پرونده‌ام؟
file_status,پرونده‌ام در چه مرحله‌ایه؟
file_status,وضعیت تیکتم چیه؟
file_status,پرونده‌ام چه مراحلی رو طی کرده؟
file_status,پرونده‌ام تو چه مرحله‌ایه؟
file_status,آخرین وضعیت پرونده‌ام چیه؟
file_status,پرونده‌ام به کجا رسیده؟
file_status,می‌شه وضعیت پرونده‌ام رو بگی؟
file_status,پرونده‌ام کجا رفته؟
file_status,تیکتم چه وضعیه؟
file_status,پرونده‌ام چه خبره؟
file_status,وضعیت پرونده‌ام چطوریه؟
file_status,می‌خوام بدونم پرونده‌ام در چه حالیه؟
file_status,پرونده‌ام چه مراحلی رو طی کرده؟
file_status,پرونده‌ام در چه مرحله‌ایه؟
file_status,چه خبری از پرونده‌ام داری؟
file_status,پرونده‌ام کجاست؟
file_status,پرونده‌ام در چه وضعیه؟
file_status,از پرونده‌ام چه خبر؟
file_status,می‌تونی بگی پرونده‌ام چطوره؟
file_status,پرونده‌ام به کجا رسیده؟
file_status,پرونده‌ام در چه مرحله‌ای قرار داره؟
